"filename", "language", "PHP", "JavaScript", "SCSS", "JSON", "XML", "CSS", "SQL", "comment", "blank", "total"
"c:\laragon\www\equizzy\src\img\undraw_createPoll.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\laragon\www\equizzy\src\js\answers\getAnswers.js", "JavaScript", 0, 49, 0, 0, 0, 0, 0, 9, 17, 75
"c:\laragon\www\equizzy\src\js\answers\ratePoll.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 0, 25, 64
"c:\laragon\www\equizzy\src\js\app.js", "JavaScript", 0, 56, 0, 0, 0, 0, 0, 10, 28, 94
"c:\laragon\www\equizzy\src\js\crudOptionPolls\createOption.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 0, 13, 51
"c:\laragon\www\equizzy\src\js\crudOptionPolls\deleteOption.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 9, 28
"c:\laragon\www\equizzy\src\js\crudOptionPolls\editOption.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 9, 40
"c:\laragon\www\equizzy\src\js\crudOptionPolls\listOption.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 2, 16, 42
"c:\laragon\www\equizzy\src\js\crudQuestionPolls\createQuestion.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 2, 6, 43
"c:\laragon\www\equizzy\src\js\crudQuestionPolls\deleteQuestion.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 4, 35
"c:\laragon\www\equizzy\src\js\crudQuestionPolls\editQuestion.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 0, 18, 72
"c:\laragon\www\equizzy\src\js\crudQuestionPolls\questionManager.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 10, 27, 75
"c:\laragon\www\equizzy\src\js\indexPollsCarrousel.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"c:\laragon\www\equizzy\src\js\navbarHome.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 1, 2, 16
"c:\laragon\www\equizzy\src\js\navbarPollsResponsive.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"c:\laragon\www\equizzy\src\js\polls\changePollVisibility.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 2, 17, 54
"c:\laragon\www\equizzy\src\js\polls\menuOptionsMyPolls.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 5, 16
"c:\laragon\www\equizzy\src\js\polls\textAreaCounter.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 5, 20
"c:\laragon\www\equizzy\src\js\principalPollsCarrousel.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\laragon\www\equizzy\src\scss\admin\_index.scss", "SCSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\laragon\www\equizzy\src\scss\admin\_indexCards.scss", "SCSS", 0, 0, 49, 0, 0, 0, 0, 1, 10, 60
"c:\laragon\www\equizzy\src\scss\app.scss", "SCSS", 0, 0, 4, 0, 0, 0, 0, 1, 1, 6
"c:\laragon\www\equizzy\src\scss\base\_globals.scss", "SCSS", 0, 0, 91, 0, 0, 0, 0, 3, 11, 105
"c:\laragon\www\equizzy\src\scss\base\_index.scss", "SCSS", 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\laragon\www\equizzy\src\scss\base\_mixins.scss", "SCSS", 0, 0, 53, 0, 0, 0, 0, 1, 7, 61
"c:\laragon\www\equizzy\src\scss\base\_normalize.scss", "SCSS", 0, 0, 146, 0, 0, 0, 0, 129, 75, 350
"c:\laragon\www\equizzy\src\scss\base\_typography.scss", "SCSS", 0, 0, 21, 0, 0, 0, 0, 0, 3, 24
"c:\laragon\www\equizzy\src\scss\base\_variables.scss", "SCSS", 0, 0, 24, 0, 0, 0, 0, 11, 8, 43
"c:\laragon\www\equizzy\src\scss\components\_404.scss", "SCSS", 0, 0, 20, 0, 0, 0, 0, 0, 3, 23
"c:\laragon\www\equizzy\src\scss\components\_alerts.scss", "SCSS", 0, 0, 22, 0, 0, 0, 0, 0, 3, 25
"c:\laragon\www\equizzy\src\scss\components\_footer.scss", "SCSS", 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\laragon\www\equizzy\src\scss\components\_forms.scss", "SCSS", 0, 0, 97, 0, 0, 0, 0, 0, 19, 116
"c:\laragon\www\equizzy\src\scss\components\_glide.core.min.scss", "SCSS", 0, 0, 57, 0, 0, 0, 0, 0, 2, 59
"c:\laragon\www\equizzy\src\scss\components\_glide.theme.min.scss", "SCSS", 0, 0, 82, 0, 0, 0, 0, 0, 1, 83
"c:\laragon\www\equizzy\src\scss\components\_hero.scss", "SCSS", 0, 0, 62, 0, 0, 0, 0, 0, 11, 73
"c:\laragon\www\equizzy\src\scss\components\_index.scss", "SCSS", 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"c:\laragon\www\equizzy\src\scss\components\_logo.scss", "SCSS", 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\laragon\www\equizzy\src\scss\components\_navbar.scss", "SCSS", 0, 0, 64, 0, 0, 0, 0, 0, 11, 75
"c:\laragon\www\equizzy\src\scss\components\_scrollbar.scss", "SCSS", 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\laragon\www\equizzy\src\scss\indexPages\_about.scss", "SCSS", 0, 0, 41, 0, 0, 0, 0, 0, 9, 50
"c:\laragon\www\equizzy\src\scss\indexPages\_cards-section.scss", "SCSS", 0, 0, 32, 0, 0, 0, 0, 0, 6, 38
"c:\laragon\www\equizzy\src\scss\indexPages\_carrousel.scss", "SCSS", 0, 0, 43, 0, 0, 0, 0, 0, 8, 51
"c:\laragon\www\equizzy\src\scss\indexPages\_index.scss", "SCSS", 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\laragon\www\equizzy\src\scss\indexPages\categoriesPolls\_categories.scss", "SCSS", 0, 0, 39, 0, 0, 0, 0, 0, 9, 48
"c:\laragon\www\equizzy\src\scss\indexPages\categoriesPolls\_index.scss", "SCSS", 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\laragon\www\equizzy\src\scss\indexPages\categoriesPolls\_pollsByCategory.scss", "SCSS", 0, 0, 51, 0, 0, 0, 0, 0, 11, 62
"c:\laragon\www\equizzy\src\scss\indexPages\principalPagesPolls\_index.scss", "SCSS", 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\laragon\www\equizzy\src\scss\indexPages\principalPagesPolls\_pollsLayout.scss", "SCSS", 0, 0, 115, 0, 0, 0, 0, 3, 25, 143
"c:\laragon\www\equizzy\src\scss\indexPages\principalPagesPolls\_profile.scss", "SCSS", 0, 0, 23, 0, 0, 0, 0, 0, 6, 29
"c:\laragon\www\equizzy\src\scss\indexPages\principalPagesPolls\editPolls\_editPolls.scss", "SCSS", 0, 0, 70, 0, 0, 0, 0, 0, 16, 86
"c:\laragon\www\equizzy\src\scss\indexPages\principalPagesPolls\editPolls\_index.scss", "SCSS", 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\laragon\www\equizzy\src\scss\indexPages\principalPagesPolls\editPolls\_question.scss", "SCSS", 0, 0, 165, 0, 0, 0, 0, 0, 36, 201
"c:\laragon\www\equizzy\src\scss\indexPages\principalPagesPolls\listMyPolls\_index.scss", "SCSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\laragon\www\equizzy\src\scss\indexPages\principalPagesPolls\listMyPolls\_listMyPolls.scss", "SCSS", 0, 0, 96, 0, 0, 0, 0, 0, 16, 112
"c:\laragon\www\equizzy\src\scss\indexPages\principalPagesPolls\principalListPolls\_createPollSection.scss", "SCSS", 0, 0, 23, 0, 0, 0, 0, 0, 5, 28
"c:\laragon\www\equizzy\src\scss\indexPages\principalPagesPolls\principalListPolls\_index.scss", "SCSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\laragon\www\equizzy\src\scss\indexPages\principalPagesPolls\publicPolls\_answersPoll.scss", "SCSS", 0, 0, 53, 0, 0, 0, 0, 0, 10, 63
"c:\laragon\www\equizzy\src\scss\indexPages\principalPagesPolls\publicPolls\_index.scss", "SCSS", 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\laragon\www\equizzy\src\scss\indexPages\principalPagesPolls\publicPolls\_respondPoll.scss", "SCSS", 0, 0, 99, 0, 0, 0, 0, 0, 18, 117
