"filename", "language", "PHP", "JSON", "Markdown", "YAML", "comment", "blank", "total"
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Imagick\Color.php", "PHP", -129, 0, 0, 0, -118, -33, -280
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Imagick\Commands\BackupCommand.php", "PHP", -13, 0, 0, 0, -7, -6, -26
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Imagick\Commands\BlurCommand.php", "PHP", -11, 0, 0, 0, -6, -5, -22
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Imagick\Commands\BrightnessCommand.php", "PHP", -11, 0, 0, 0, -6, -5, -22
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Imagick\Commands\ColorizeCommand.php", "PHP", -28, 0, 0, 0, -8, -9, -45
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Imagick\Commands\ContrastCommand.php", "PHP", -11, 0, 0, 0, -6, -5, -22
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Imagick\Commands\CropCommand.php", "PHP", -29, 0, 0, 0, -8, -9, -46
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Imagick\Commands\DestroyCommand.php", "PHP", -14, 0, 0, 0, -8, -6, -28
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Imagick\Commands\ExifCommand.php", "PHP", -38, 0, 0, 0, -14, -12, -64
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Imagick\Commands\FillCommand.php", "PHP", -52, 0, 0, 0, -25, -29, -106
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Imagick\Commands\FitCommand.php", "PHP", -26, 0, 0, 0, -9, -8, -43
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Imagick\Commands\FlipCommand.php", "PHP", -15, 0, 0, 0, -8, -5, -28
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Imagick\Commands\GammaCommand.php", "PHP", -11, 0, 0, 0, -6, -5, -22
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Imagick\Commands\GetSizeCommand.php", "PHP", -16, 0, 0, 0, -7, -6, -29
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Imagick\Commands\GreyscaleCommand.php", "PHP", -10, 0, 0, 0, -6, -4, -20
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Imagick\Commands\HeightenCommand.php", "PHP", -18, 0, 0, 0, -6, -5, -29
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Imagick\Commands\InsertCommand.php", "PHP", -18, 0, 0, 0, -9, -7, -34
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Imagick\Commands\InterlaceCommand.php", "PHP", -17, 0, 0, 0, -6, -7, -30
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Imagick\Commands\InvertCommand.php", "PHP", -10, 0, 0, 0, -6, -4, -20
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Imagick\Commands\LimitColorsCommand.php", "PHP", -30, 0, 0, 0, -13, -17, -60
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Imagick\Commands\MaskCommand.php", "PHP", -30, 0, 0, 0, -15, -16, -61
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Imagick\Commands\OpacityCommand.php", "PHP", -12, 0, 0, 0, -6, -6, -24
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Imagick\Commands\PickColorCommand.php", "PHP", -16, 0, 0, 0, -8, -7, -31
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Imagick\Commands\PixelCommand.php", "PHP", -18, 0, 0, 0, -8, -6, -32
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Imagick\Commands\PixelateCommand.php", "PHP", -15, 0, 0, 0, -6, -7, -28
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Imagick\Commands\ResetCommand.php", "PHP", -21, 0, 0, 0, -9, -11, -41
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Imagick\Commands\ResizeCanvasCommand.php", "PHP", -60, 0, 0, 0, -15, -17, -92
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Imagick\Commands\ResizeCommand.php", "PHP", -15, 0, 0, 0, -8, -7, -30
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Imagick\Commands\RotateCommand.php", "PHP", -16, 0, 0, 0, -8, -7, -31
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Imagick\Commands\SharpenCommand.php", "PHP", -11, 0, 0, 0, -6, -5, -22
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Imagick\Commands\TrimCommand.php", "PHP", -77, 0, 0, 0, -21, -24, -122
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Imagick\Commands\WidenCommand.php", "PHP", -18, 0, 0, 0, -6, -5, -29
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Imagick\Decoder.php", "PHP", -66, 0, 0, 0, -36, -23, -125
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Imagick\Driver.php", "PHP", -37, 0, 0, 0, -27, -11, -75
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Imagick\Encoder.php", "PHP", -110, 0, 0, 0, -35, -29, -174
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Imagick\Font.php", "PHP", -74, 0, 0, 0, -26, -22, -122
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Imagick\Shapes\CircleShape.php", "PHP", -17, 0, 0, 0, -18, -6, -41
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Imagick\Shapes\EllipseShape.php", "PHP", -29, 0, 0, 0, -26, -12, -67
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Imagick\Shapes\LineShape.php", "PHP", -35, 0, 0, 0, -46, -14, -95
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Imagick\Shapes\PolygonShape.php", "PHP", -42, 0, 0, 0, -26, -14, -82
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Imagick\Shapes\RectangleShape.php", "PHP", -33, 0, 0, 0, -38, -14, -85
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Point.php", "PHP", -25, 0, 0, 0, -32, -8, -65
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Response.php", "PHP", -37, 0, 0, 0, -27, -15, -79
"c:\laragon\www\equizzy\vendor\intervention\image\src\Intervention\Image\Size.php", "PHP", -208, 0, 0, 0, -110, -57, -375
"c:\laragon\www\equizzy\vendor\intervention\image\src\config\config.php", "PHP", -4, 0, 0, 0, -12, -5, -21
"c:\laragon\www\equizzy\vendor\phpoption\phpoption\composer.json", "JSON", 0, -52, 0, 0, 0, -1, -53
"c:\laragon\www\equizzy\vendor\phpoption\phpoption\src\PhpOption\LazyOption.php", "PHP", -105, 0, 0, 0, -41, -30, -176
"c:\laragon\www\equizzy\vendor\phpoption\phpoption\src\PhpOption\None.php", "PHP", -88, 0, 0, 0, -23, -26, -137
"c:\laragon\www\equizzy\vendor\phpoption\phpoption\src\PhpOption\Option.php", "PHP", -88, 0, 0, 0, -313, -34, -435
"c:\laragon\www\equizzy\vendor\phpoption\phpoption\src\PhpOption\Some.php", "PHP", -104, 0, 0, 0, -35, -31, -170
"c:\laragon\www\equizzy\vendor\psr\http-message\CHANGELOG.md", "Markdown", 0, 0, -24, 0, 0, -13, -37
"c:\laragon\www\equizzy\vendor\psr\http-message\README.md", "Markdown", 0, 0, -9, 0, 0, -4, -13
"c:\laragon\www\equizzy\vendor\psr\http-message\composer.json", "JSON", 0, -26, 0, 0, 0, -1, -27
"c:\laragon\www\equizzy\vendor\psr\http-message\src\MessageInterface.php", "PHP", -16, 0, 0, 0, -159, -13, -188
"c:\laragon\www\equizzy\vendor\psr\http-message\src\RequestInterface.php", "PHP", -11, 0, 0, 0, -111, -8, -130
"c:\laragon\www\equizzy\vendor\psr\http-message\src\ResponseInterface.php", "PHP", -8, 0, 0, 0, -56, -5, -69
"c:\laragon\www\equizzy\vendor\psr\http-message\src\ServerRequestInterface.php", "PHP", -18, 0, 0, 0, -229, -15, -262
